"Global_Time","Time","Target_Voltage","Measured_Voltage"
1,1,-5000,-4923.6117940276
2,2,-5000,-5104.80447136892
3,3,-5000,-4955.25722151208
4,4,-5000,-4950.98495127043
5,5,-5000,-4866.3293835897
6,6,-5000,-4941.821667579
7,7,-5000,-4941.60291124293
8,8,-5000,-4981.97840447051
9,9,-5000,-4975.61567920939
10,10,-5000,-4804.55228492435
11,11,-5000,-4845.3306460655
12,12,-5000,-4897.98912478449
13,13,-5000,-4819.5444935733
14,14,-5000,-4751.9134646995
15,15,-5000,-4782.22919511855
16,16,-5000,-4824.56659398959
17,17,-5000,-4814.20948835857
18,18,-5000,-4861.15726598877
19,19,-5000,-4796.52475571494
20,20,-5000,-4764.61179633864
21,21,-5000,-4781.04845629861
22,22,-5000,-4586.68769619649
23,23,-5000,-4667.40674099216
24,24,-5000,-4635.56298294381
25,25,-5000,-4656.43183564543
26,26,-5000,-4681.89255749528
27,27,-5000,-4523.95740383556
28,28,-5000,-4468.482817352
29,29,-5000,-4509.85985409703
30,30,-5000,-4541.81739358181
31,31,-5000,-4470.94994304161
32,32,-5000,-4459.89721446887
33,33,-5000,-4670.90288811458
34,34,-5000,-4629.29762806959
35,35,-5000,-4662.72661480673
36,36,-5000,-4679.75488823272
37,37,-5000,-4498.14413871516
38,38,-5000,-4463.33395361845
39,39,-5000,-4708.76121240422
40,40,-5000,-4542.42723004829
41,41,-5000,-4500.13434162382
42,42,-5000,-4466.92366252568
43,43,-5000,-4404.25450273501
44,44,-5000,-4496.6892001959
45,45,-5000,-4609.65183856145
46,46,-5000,-4576.65890148909
47,47,-5000,-4544.45955458921
48,48,-5000,-4676.7929228208
49,49,-5000,-4462.15675415862
50,50,-5000,-4568.83262394085
51,1,-4900,-4519.27683502427
52,2,-4900,-4644.600279957
53,3,-4900,-4679.53501150748
54,4,-4900,-4640.03556511503
55,5,-4900,-4565.89237973978
56,6,-4900,-4450.38836639435
57,7,-4900,-4547.40720086964
58,8,-4900,-4528.32926380221
59,9,-4900,-4588.43277570432
60,10,-4900,-4504.41186762985
61,11,-4900,-4451.55083902036
62,12,-4900,-4360.06239792004
63,13,-4900,-4530.85470672735
64,14,-4900,-4453.50204134941
65,15,-4900,-4466.63638307164
66,16,-4900,-4550.22035341861
67,17,-4900,-4486.81518353396
68,18,-4900,-4440.0236876355
69,19,-4900,-4512.44198028766
70,20,-4900,-4463.71309951017
71,21,-4900,-4435.21316489633
72,22,-4900,-4479.59235955691
73,23,-4900,-4460.1332387378
74,24,-4900,-4581.31866956357
75,25,-4900,-4546.94090663116
76,26,-4900,-4580.15125677109
77,27,-4900,-4441.98656502154
78,28,-4900,-4514.13482091863
79,29,-4900,-4497.10822303489
80,30,-4900,-4439.64666083986
81,31,-4900,-4423.48541437369
82,32,-4900,-4416.76346874071
83,33,-4900,-4509.99849350737
84,34,-4900,-4605.49247125118
85,35,-4900,-4537.66427112146
86,36,-4900,-4655.19398235758
87,37,-4900,-4734.49309889246
88,38,-4900,-4520.14946490067
89,39,-4900,-4664.8765042585
90,40,-4900,-4678.61938962442
91,41,-4900,-4731.59076617976
92,42,-4900,-4663.67007950941
93,43,-4900,-4722.51133624484
94,44,-4900,-4684.22389858949
95,45,-4900,-4764.27969270536
